ds,y,price_mean,promo_sum,supplier_cost_mean,lead_time_mean,stock_mean,dow,month,year
2022-11-02,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,2,11,2022
2022-11-03,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,3,11,2022
2022-11-04,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,4,11,2022
2022-11-05,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,5,11,2022
2022-11-06,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,6,11,2022
2022-11-07,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,0,11,2022
2022-11-08,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,1,11,2022
2022-11-09,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,2,11,2022
2022-11-10,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,3,11,2022
2022-11-11,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,4,11,2022
2022-11-12,0.0,13.759610428647708,0.0,10.05140576154182,1.0,172.0,5,11,2022
2022-11-13,775.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,6,11,2022
2022-11-14,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,0,11,2022
2022-11-15,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,1,11,2022
2022-11-16,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,2,11,2022
2022-11-17,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,3,11,2022
2022-11-18,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,4,11,2022
2022-11-19,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,5,11,2022
2022-11-20,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,6,11,2022
2022-11-21,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,0,11,2022
2022-11-22,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,1,11,2022
2022-11-23,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,2,11,2022
2022-11-24,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,3,11,2022
2022-11-25,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,4,11,2022
2022-11-26,0.0,8.237280984708757,0.0,5.539022532049442,2.0,51.0,5,11,2022
2022-11-27,1435.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,6,11,2022
2022-11-28,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,0,11,2022
2022-11-29,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,1,11,2022
2022-11-30,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,2,11,2022
2022-12-01,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,3,12,2022
2022-12-02,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,4,12,2022
2022-12-03,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,5,12,2022
2022-12-04,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,6,12,2022
2022-12-05,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,0,12,2022
2022-12-06,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,1,12,2022
2022-12-07,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,2,12,2022
2022-12-08,0.0,8.54639677115501,0.0,5.757117050106871,2.0,396.0,3,12,2022
2022-12-09,1630.0,5.248674255429914,0.0,6.076860601692139,6.0,275.0,4,12,2022
2022-12-10,0.0,5.248674255429914,0.0,6.076860601692139,6.0,275.0,5,12,2022
2022-12-11,0.0,5.248674255429914,0.0,6.076860601692139,6.0,275.0,6,12,2022
2022-12-12,0.0,5.248674255429914,0.0,6.076860601692139,6.0,275.0,0,12,2022
2022-12-13,253.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,1,12,2022
2022-12-14,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,2,12,2022
2022-12-15,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,3,12,2022
2022-12-16,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,4,12,2022
2022-12-17,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,5,12,2022
2022-12-18,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,6,12,2022
2022-12-19,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,0,12,2022
2022-12-20,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,1,12,2022
2022-12-21,0.0,11.928103659435871,0.0,2.2203346032529145,7.0,203.0,2,12,2022
2022-12-22,160.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,12,2022
2022-12-23,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,12,2022
2022-12-24,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,12,2022
2022-12-25,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,12,2022
2022-12-26,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,12,2022
2022-12-27,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,12,2022
2022-12-28,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,12,2022
2022-12-29,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,12,2022
2022-12-30,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,12,2022
2022-12-31,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,12,2022
2023-01-01,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,1,2023
2023-01-02,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,1,2023
2023-01-03,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,1,2023
2023-01-04,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,1,2023
2023-01-05,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,1,2023
2023-01-06,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,1,2023
2023-01-07,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,1,2023
2023-01-08,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,1,2023
2023-01-09,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,1,2023
2023-01-10,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,1,2023
2023-01-11,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,1,2023
2023-01-12,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,1,2023
2023-01-13,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,1,2023
2023-01-14,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,1,2023
2023-01-15,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,1,2023
2023-01-16,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,1,2023
2023-01-17,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,1,2023
2023-01-18,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,1,2023
2023-01-19,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,1,2023
2023-01-20,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,1,2023
2023-01-21,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,1,2023
2023-01-22,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,1,2023
2023-01-23,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,1,2023
2023-01-24,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,1,2023
2023-01-25,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,1,2023
2023-01-26,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,3,1,2023
2023-01-27,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,4,1,2023
2023-01-28,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,5,1,2023
2023-01-29,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,6,1,2023
2023-01-30,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,0,1,2023
2023-01-31,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,1,1,2023
2023-02-01,0.0,16.678814580895796,0.0,14.581688156840144,9.0,228.0,2,2,2023
2023-02-02,1660.0,16.04977904145032,0.0,9.632399489303262,3.0,118.0,3,2,2023
2023-02-03,0.0,16.04977904145032,0.0,9.632399489303262,3.0,118.0,4,2,2023
2023-02-04,0.0,16.04977904145032,0.0,9.632399489303262,3.0,118.0,5,2,2023
2023-02-05,1391.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,2,2023
2023-02-06,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,2,2023
2023-02-07,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,1,2,2023
2023-02-08,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,2,2,2023
2023-02-09,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,3,2,2023
2023-02-10,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,4,2,2023
2023-02-11,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,5,2,2023
2023-02-12,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,2,2023
2023-02-13,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,2,2023
2023-02-14,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,1,2,2023
2023-02-15,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,2,2,2023
2023-02-16,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,3,2,2023
2023-02-17,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,4,2,2023
2023-02-18,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,5,2,2023
2023-02-19,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,2,2023
2023-02-20,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,2,2023
2023-02-21,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,1,2,2023
2023-02-22,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,2,2,2023
2023-02-23,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,3,2,2023
2023-02-24,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,4,2,2023
2023-02-25,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,5,2,2023
2023-02-26,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,2,2023
2023-02-27,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,2,2023
2023-02-28,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,1,2,2023
2023-03-01,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,2,3,2023
2023-03-02,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,3,3,2023
2023-03-03,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,4,3,2023
2023-03-04,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,5,3,2023
2023-03-05,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,3,2023
2023-03-06,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,3,2023
2023-03-07,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,1,3,2023
2023-03-08,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,2,3,2023
2023-03-09,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,3,3,2023
2023-03-10,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,4,3,2023
2023-03-11,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,5,3,2023
2023-03-12,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,6,3,2023
2023-03-13,0.0,7.730488568450716,0.0,8.203763266088513,1.0,467.0,0,3,2023
2023-03-14,714.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,1,3,2023
2023-03-15,0.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,2,3,2023
2023-03-16,0.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,3,3,2023
2023-03-17,0.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,4,3,2023
2023-03-18,0.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,5,3,2023
2023-03-19,0.0,13.515150777941429,0.0,10.476660577574869,3.0,257.0,6,3,2023
2023-03-20,719.0,5.808110223214906,0.0,4.954638046808428,6.0,204.0,0,3,2023
2023-03-21,0.0,5.808110223214906,0.0,4.954638046808428,6.0,204.0,1,3,2023
2023-03-22,0.0,5.808110223214906,0.0,4.954638046808428,6.0,204.0,2,3,2023
2023-03-23,1221.0,10.413589965758652,1.0,2.823271214159341,2.0,235.0,3,3,2023
2023-03-24,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,4,3,2023
2023-03-25,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,5,3,2023
2023-03-26,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,6,3,2023
2023-03-27,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,0,3,2023
2023-03-28,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,1,3,2023
2023-03-29,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,2,3,2023
2023-03-30,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,3,3,2023
2023-03-31,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,4,3,2023
2023-04-01,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,5,4,2023
2023-04-02,0.0,10.413589965758652,0.0,2.823271214159341,2.0,235.0,6,4,2023
2023-04-03,596.0,1.7224151165116433,1.0,2.8637771503158502,2.0,70.0,0,4,2023
2023-04-04,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,1,4,2023
2023-04-05,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,2,4,2023
2023-04-06,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,3,4,2023
2023-04-07,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,4,4,2023
2023-04-08,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,5,4,2023
2023-04-09,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,6,4,2023
2023-04-10,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,0,4,2023
2023-04-11,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,1,4,2023
2023-04-12,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,2,4,2023
2023-04-13,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,3,4,2023
2023-04-14,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,4,4,2023
2023-04-15,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,5,4,2023
2023-04-16,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,6,4,2023
2023-04-17,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,0,4,2023
2023-04-18,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,1,4,2023
2023-04-19,0.0,1.7224151165116433,0.0,2.8637771503158502,2.0,70.0,2,4,2023
2023-04-20,645.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,3,4,2023
2023-04-21,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,4,4,2023
2023-04-22,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,5,4,2023
2023-04-23,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,6,4,2023
2023-04-24,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,0,4,2023
2023-04-25,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,1,4,2023
2023-04-26,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,2,4,2023
2023-04-27,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,3,4,2023
2023-04-28,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,4,4,2023
2023-04-29,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,5,4,2023
2023-04-30,0.0,2.3055438178470875,0.0,11.916893393164456,1.0,203.0,6,4,2023
2023-05-01,913.0,5.953552698478414,1.0,5.933468572356959,5.0,456.0,0,5,2023
2023-05-02,0.0,5.953552698478414,0.0,5.933468572356959,5.0,456.0,1,5,2023
2023-05-03,1057.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,2,5,2023
2023-05-04,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,3,5,2023
2023-05-05,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,4,5,2023
2023-05-06,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,5,5,2023
2023-05-07,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,6,5,2023
2023-05-08,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,0,5,2023
2023-05-09,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,1,5,2023
2023-05-10,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,2,5,2023
2023-05-11,0.0,19.23670384344265,0.0,1.2333100054513184,8.0,281.0,3,5,2023
2023-05-12,1362.0,10.894594694850042,1.0,7.025850271680266,5.0,422.0,4,5,2023
2023-05-13,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,5,5,2023
2023-05-14,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,6,5,2023
2023-05-15,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,0,5,2023
2023-05-16,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,1,5,2023
2023-05-17,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,2,5,2023
2023-05-18,0.0,10.894594694850042,0.0,7.025850271680266,5.0,422.0,3,5,2023
2023-05-19,488.0,8.143864908884916,1.0,7.641763020357194,4.0,78.0,4,5,2023
2023-05-20,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,5,5,2023
2023-05-21,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,6,5,2023
2023-05-22,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,0,5,2023
2023-05-23,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,1,5,2023
2023-05-24,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,2,5,2023
2023-05-25,0.0,8.143864908884916,0.0,7.641763020357194,4.0,78.0,3,5,2023
2023-05-26,1793.0,10.424908934917845,1.0,12.178768774849802,4.0,270.0,4,5,2023
2023-05-27,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,5,5,2023
2023-05-28,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,6,5,2023
2023-05-29,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,0,5,2023
2023-05-30,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,1,5,2023
2023-05-31,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,2,5,2023
2023-06-01,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,3,6,2023
2023-06-02,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,4,6,2023
2023-06-03,0.0,10.424908934917845,0.0,12.178768774849802,4.0,270.0,5,6,2023
2023-06-04,498.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,6,6,2023
2023-06-05,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,0,6,2023
2023-06-06,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,1,6,2023
2023-06-07,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,2,6,2023
2023-06-08,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,3,6,2023
2023-06-09,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,4,6,2023
2023-06-10,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,5,6,2023
2023-06-11,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,6,6,2023
2023-06-12,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,0,6,2023
2023-06-13,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,1,6,2023
2023-06-14,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,2,6,2023
2023-06-15,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,3,6,2023
2023-06-16,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,4,6,2023
2023-06-17,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,5,6,2023
2023-06-18,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,6,6,2023
2023-06-19,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,0,6,2023
2023-06-20,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,1,6,2023
2023-06-21,0.0,5.200204057620841,0.0,1.0027542112779626,1.0,351.0,2,6,2023
2023-06-22,1968.0,8.854912536609968,1.0,11.200288737265089,1.0,375.0,3,6,2023
2023-06-23,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,4,6,2023
2023-06-24,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,5,6,2023
2023-06-25,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,6,6,2023
2023-06-26,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,0,6,2023
2023-06-27,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,1,6,2023
2023-06-28,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,2,6,2023
2023-06-29,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,3,6,2023
2023-06-30,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,4,6,2023
2023-07-01,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,5,7,2023
2023-07-02,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,6,7,2023
2023-07-03,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,0,7,2023
2023-07-04,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,1,7,2023
2023-07-05,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,2,7,2023
2023-07-06,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,3,7,2023
2023-07-07,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,4,7,2023
2023-07-08,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,5,7,2023
2023-07-09,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,6,7,2023
2023-07-10,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,0,7,2023
2023-07-11,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,1,7,2023
2023-07-12,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,2,7,2023
2023-07-13,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,3,7,2023
2023-07-14,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,4,7,2023
2023-07-15,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,5,7,2023
2023-07-16,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,6,7,2023
2023-07-17,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,0,7,2023
2023-07-18,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,1,7,2023
2023-07-19,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,2,7,2023
2023-07-20,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,3,7,2023
2023-07-21,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,4,7,2023
2023-07-22,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,5,7,2023
2023-07-23,0.0,8.854912536609968,0.0,11.200288737265089,1.0,375.0,6,7,2023
2023-07-24,1644.0,15.414851412109092,0.0,4.763978201563278,3.0,382.0,0,7,2023
2023-07-25,0.0,15.414851412109092,0.0,4.763978201563278,3.0,382.0,1,7,2023
2023-07-26,0.0,15.414851412109092,0.0,4.763978201563278,3.0,382.0,2,7,2023
2023-07-27,1876.0,16.997437058437466,1.0,4.168881943343672,2.0,84.0,3,7,2023
2023-07-28,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,4,7,2023
2023-07-29,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,5,7,2023
2023-07-30,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,6,7,2023
2023-07-31,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,0,7,2023
2023-08-01,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,1,8,2023
2023-08-02,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,2,8,2023
2023-08-03,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,3,8,2023
2023-08-04,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,4,8,2023
2023-08-05,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,5,8,2023
2023-08-06,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,6,8,2023
2023-08-07,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,0,8,2023
2023-08-08,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,1,8,2023
2023-08-09,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,2,8,2023
2023-08-10,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,3,8,2023
2023-08-11,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,4,8,2023
2023-08-12,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,5,8,2023
2023-08-13,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,6,8,2023
2023-08-14,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,0,8,2023
2023-08-15,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,1,8,2023
2023-08-16,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,2,8,2023
2023-08-17,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,3,8,2023
2023-08-18,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,4,8,2023
2023-08-19,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,5,8,2023
2023-08-20,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,6,8,2023
2023-08-21,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,0,8,2023
2023-08-22,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,1,8,2023
2023-08-23,0.0,16.997437058437466,0.0,4.168881943343672,2.0,84.0,2,8,2023
2023-08-24,1318.0,7.120052080354524,0.0,5.449120366275756,6.0,308.0,3,8,2023
2023-08-25,0.0,7.120052080354524,0.0,5.449120366275756,6.0,308.0,4,8,2023
2023-08-26,0.0,7.120052080354524,0.0,5.449120366275756,6.0,308.0,5,8,2023
2023-08-27,0.0,7.120052080354524,0.0,5.449120366275756,6.0,308.0,6,8,2023
2023-08-28,0.0,7.120052080354524,0.0,5.449120366275756,6.0,308.0,0,8,2023
2023-08-29,620.0,19.65741461847676,1.0,0.698395014029876,9.0,210.0,1,8,2023
